level,name,Total population_2022,Population under age 18_2022,Percent under age 18_2022,Population ages 18+_2022,Percent ages 18+_2022,Population ages 65+_2022,Percent ages 65+_2022,White population_2022,Percent white_2022,Black population_2022,Percent Black_2022,Latino population_2022,Percent Latino_2022,Other race population_2022,Percent other race_2022,Foreign-born population_2022,Percent foreign-born_2022,Total households_2022,Owner-occupied households_2022,Homeownership rate_2022,Cost-burdened households_2022,Cost-burden rate_2022,Poverty status known_2022,Population in poverty_2022,Poverty rate_2022,Low-income population_2022,Low-income rate_2022,"Under 18, poverty status known_2022",Children in poverty_2022,Child poverty rate_2022,Low-income children_2022,Child low-income rate_2022,"Ages 65+, poverty status known_2022",Seniors in poverty_2022,Senior poverty rate_2022,Low-income seniors_2022,Senior low-income rate_2022,Life expectancy in years_2010-2015,Percent adults with coronary heart disease_2021,Current asthma rate (adults)_2021,Diabetes rate (adults)_2021,Percent adults with high blood pressure_2021,Percent adults with any disability_2021,Percent adults with mobility disability_2021,Annual checkup rate (adults)_2021,Annual dental visit rate (adults)_2020,"Ages 18-64, no health insurance_2021",Current smoking rate (adults)_2021,Percent adults sleeping under 7 hours daily_2020
state,Connecticut,3611317,742877,0.21,2868440,0.79,629108,0.17,2308644,0.64,355970,0.1,627408,0.17,319295,0.09,542964,0.15,1409807,932588,0.66,480042,0.35,3507563,355692,0.1,786615,0.22,733553,98183,0.13,210923,0.29,609617,48446,0.08,132552,0.22,80.3,0.05,0.11,0.09,0.3,0.25,0.11,0.75,0.7,0.08,0.14,0.34
town,Bridgeport,148470,30802,0.21,117668,0.79,20091,0.14,48108,0.32,29156,0.2,53790,0.36,17416,0.12,46663,0.31,55550,25118,0.45,27657,0.51,144673,33135,0.23,63425,0.44,30537,10637,0.35,18937,0.62,19636,3324,0.17,7767,0.4,77.7,0.05,0.12,0.12,0.3,0.3,0.14,0.72,0.56,0.18,0.18,0.38
neighborhood,Black Rock,12311,1556,0.13,10755,0.87,1482,0.12,8932,0.73,1080,0.09,1534,0.12,765,0.06,2469,0.2,6084,2231,0.37,2352,0.39,12310,1897,0.15,2771,0.23,1555,259,0.17,302,0.19,1482,280,0.19,471,0.32,80.4,0.05,0.11,0.09,0.26,0.24,0.11,0.7,0.65,0.12,0.14,0.34
neighborhood,Brooklawn-St. Vincent,27424,5519,0.2,21905,0.8,4735,0.17,9971,0.36,5077,0.19,7997,0.29,4379,0.16,10021,0.37,10722,5067,0.47,5762,0.55,26679,4618,0.17,10450,0.39,5482,1468,0.27,3129,0.57,4656,741,0.16,1582,0.34,79.3,0.05,0.12,0.1,0.28,0.27,0.12,0.71,0.6,0.16,0.17,0.37
neighborhood,Downtown Bridgeport,2322,178,0.08,2144,0.92,580,0.25,802,0.35,478,0.21,716,0.31,328,0.14,469,0.2,1272,173,0.14,426,0.36,2130,675,0.32,1044,0.49,178,89,0.5,105,0.59,582,174,0.3,363,0.62,73.4,0.06,0.12,0.13,0.31,0.3,0.15,0.73,0.56,0.16,0.17,0.37
neighborhood,East End,7696,2432,0.32,5264,0.68,704,0.09,463,0.06,2785,0.36,3693,0.48,755,0.1,1843,0.24,2320,888,0.38,1408,0.64,7645,2578,0.34,4382,0.57,2412,1322,0.55,1815,0.75,704,160,0.23,383,0.54,76.3,0.06,0.14,0.14,0.34,0.33,0.17,0.74,0.51,0.19,0.21,0.42
neighborhood,East Side,11139,2974,0.27,8165,0.73,1082,0.1,826,0.07,2690,0.24,7013,0.63,608,0.05,3573,0.32,4006,1049,0.26,2266,0.6,11043,3628,0.33,6879,0.62,2925,1276,0.44,2190,0.75,1083,267,0.25,649,0.6,75.9,0.05,0.13,0.14,0.3,0.35,0.17,0.7,0.47,0.27,0.21,0.39
neighborhood,Enterprise,660,137,0.21,523,0.79,75,0.11,192,0.29,160,0.24,261,0.39,50,0.08,280,0.42,245,67,0.27,105,0.45,659,148,0.22,272,0.41,137,51,0.37,96,0.7,76,9,0.12,13,0.17,76,0.04,0.12,0.11,0.28,0.28,0.13,0.71,0.57,0.18,0.18,0.38
neighborhood,Hollow,8760,2327,0.27,6433,0.73,749,0.09,1711,0.2,1503,0.17,4984,0.57,563,0.06,3398,0.39,3279,831,0.25,1846,0.58,8711,2876,0.33,5584,0.64,2279,1182,0.52,1741,0.76,749,265,0.35,518,0.69,75.8,0.05,0.13,0.13,0.29,0.36,0.17,0.69,0.44,0.27,0.24,0.41
neighborhood,Mill Hill,11323,2368,0.21,8955,0.79,2049,0.18,2717,0.24,2779,0.25,5095,0.45,732,0.06,3201,0.28,4403,1983,0.45,2244,0.53,10976,3280,0.3,5596,0.51,2364,1074,0.45,1634,0.69,1812,375,0.21,951,0.52,76.3,0.06,0.13,0.14,0.33,0.32,0.17,0.73,0.54,0.18,0.19,0.39
neighborhood,North End,28514,4560,0.16,23954,0.84,4630,0.16,14795,0.52,2958,0.1,5364,0.19,5397,0.19,9396,0.33,10333,6938,0.67,4907,0.49,27007,3937,0.15,9412,0.35,4522,593,0.13,2353,0.52,4495,357,0.08,1097,0.24,79.1,0.05,0.11,0.09,0.28,0.25,0.12,0.72,0.66,0.11,0.14,0.34
neighborhood,Reservoir-Whiskey Hill,8390,2070,0.25,6320,0.75,1098,0.13,1492,0.18,3337,0.4,3236,0.39,324,0.04,2731,0.33,2576,1660,0.64,998,0.41,8359,1883,0.23,3006,0.36,2040,803,0.39,1147,0.56,1098,240,0.22,449,0.41,80.3,0.05,0.13,0.12,0.32,0.28,0.14,0.74,0.59,0.15,0.17,0.4
neighborhood,South End Bridgeport,4013,602,0.15,3411,0.85,352,0.09,1458,0.36,376,0.09,1491,0.37,686,0.17,994,0.25,1422,569,0.4,701,0.54,3345,1080,0.32,1735,0.52,588,346,0.59,489,0.83,350,45,0.13,76,0.22,79.1,0.03,0.12,0.08,0.22,0.25,0.1,0.69,0.57,0.14,0.15,0.36
neighborhood,Upper East Side,9994,1881,0.19,8113,0.81,1354,0.14,3070,0.31,1998,0.2,4225,0.42,703,0.07,3047,0.3,3850,2303,0.6,1672,0.47,9995,1568,0.16,3380,0.34,1883,431,0.23,863,0.46,1354,75,0.06,460,0.34,76.1,0.06,0.12,0.12,0.32,0.29,0.15,0.74,0.59,0.16,0.17,0.37
neighborhood,West End-West Side,15916,4196,0.26,11720,0.74,1198,0.08,1678,0.11,3934,0.25,8179,0.51,2125,0.13,5239,0.33,5037,1359,0.27,2973,0.6,15809,4964,0.31,8911,0.56,4178,1746,0.42,3078,0.74,1197,338,0.28,756,0.63,75.6,0.05,0.13,0.14,0.31,0.35,0.17,0.71,0.47,0.24,0.22,0.4
